Timestamp,LeftEyePos_X,LeftEyePos_Y,LeftEyePos_Z,LeftGazeDir_X,LeftGazeDir_Y,LeftGazeDir_Z,RightEyePos_X,RightEyePos_Y,RightEyePos_Z,RightGazeDir_X,RightGazeDir_Y,RightGazeDir_Z,IntersectionPoint_X,IntersectionPoint_Y,IntersectionPoint_Z,DepthVectorStart_X,DepthVectorStart_Y,DepthVectorStart_Z,DepthVectorDir_X,DepthVectorDir_Y,DepthVectorDir_Z,DepthValue,RayHitPos_X,RayHitPos_Y,RayHitPos_Z,LeftBlinkWeight,RightBlinkWeight
0.4063364,-0.07143522,-0.3490806,-0.2192606,-0.199211,-0.2581652,0.945339,-0.006536812,-0.3502805,-0.2226894,-0.2499994,-0.2534355,0.9344896,-0.3088283,-0.6567271,0.9072674,-0.3617489,-0.3437127,-0.2039222,0.04579299,-0.2708563,0.96153,1.155647,-0.07761085,-2.024333,5.762229,0.00,0.00
0.5079831,-0.07103486,-0.3451459,-0.2236761,-0.20425,-0.2357855,0.9500985,-0.006167687,-0.3468097,-0.2274814,-0.2548252,-0.2308797,0.9390201,-0.314365,-0.6260459,0.9082112,-0.3723255,-0.337418,-0.2060013,0.05029341,-0.2504478,0.9668228,1.152447,-0.03357172,-2.024333,6.306137,0.00,0.00
0.6229148,-0.07160537,-0.344726,-0.2273534,-0.008708753,-0.1945274,0.9808584,-0.006724294,-0.3459647,-0.2310834,-0.06258642,-0.1925712,0.9792851,-0.0820362,-0.5776942,0.9473338,-0.1448506,-0.3433275,-0.2231427,0.05254844,-0.1960635,0.9791822,1.195361,0.3041537,-2.018619,8.143623,0.08,0.00
0.7050567,-0.07284468,-0.3465884,-0.2296052,0.08169115,-0.09402382,0.9922127,-0.007944677,-0.3473848,-0.23312,0.02763352,-0.09337051,0.9952479,0.02522667,-0.4594657,0.9615644,-0.03800568,-0.3470159,-0.231492,0.05269313,-0.09370729,0.9942044,1.200011,0.7366297,-1.724599,14.38425,0.00,0.00
0.8153785,-0.07537664,-0.3491318,-0.2316447,0.07058187,-0.1079502,0.9916476,-0.01044839,-0.3495942,-0.2346627,0.01649046,-0.1075542,0.9940624,0.009347964,-0.4787119,0.9586991,-0.04512531,-0.3493472,-0.2330508,0.04539486,-0.107805,0.9931352,1.199988,0.6217138,-1.932894,14.35511,0.00,0.00
0.9142971,-0.07721974,-0.3497052,-0.2318212,0.07192918,-0.1049376,0.9918742,-0.01227374,-0.3499765,-0.234456,0.01783957,-0.1047401,0.9943396,0.009139214,-0.4756949,0.9590383,-0.03871211,-0.3498661,-0.2333834,0.03987621,-0.1048576,0.9936875,1.199997,0.5478833,-1.892372,14.38425,0.00,0.00
1.0242,-0.07868184,-0.3468364,-0.2310559,0.06487086,-0.09317009,0.9935346,-0.01370597,-0.3474448,-0.2327187,0.01077129,-0.09272992,0.9956331,-0.0007811594,-0.4587196,0.9620287,-0.03030325,-0.3472894,-0.232294,0.02460434,-0.09286834,0.9953744,1.199873,0.3309954,-1.711009,14.38425,0.00,0.00
1.105081,-0.07949233,-0.344125,-0.2283433,0.06599247,-0.0743337,0.9950475,-0.01450171,-0.3443724,-0.2294197,0.01190143,-0.07421914,0.9971709,-0.0002222904,-0.4334155,0.9669193,-0.0196964,-0.3443526,-0.2293337,0.01623219,-0.0742363,0.9971086,1.199722,0.2181988,-1.432355,14.38425,0.00,0.00
1.219469,-0.07995927,-0.3447403,-0.2257725,0.06330971,-0.1131412,0.9915599,-0.01496376,-0.3448911,-0.2265205,0.00921594,-0.1131695,0.9935329,-0.003908334,-0.4806511,0.9653383,-0.01730818,-0.3448857,-0.2264935,0.01117013,-0.1131742,0.9935123,1.199615,0.1465225,-2.004813,14.34538,0.00,0.00
1.302142,-0.07995655,-0.3461418,-0.2244251,0.06840129,-0.1211924,0.9902695,-0.01495998,-0.3461525,-0.2250932,0.01432723,-0.1213885,0.9925017,0.002223342,-0.4917456,0.9653113,-0.009989616,-0.3461533,-0.2251443,0.01018266,-0.1213889,0.9925528,1.199388,0.1307809,-2.024333,13.49675,0.00,0.00
1.413358,-0.08064651,-0.3488032,-0.2265377,0.06447446,-0.128005,0.9896756,-0.01564785,-0.3487273,-0.2269476,0.0103917,-0.1282837,0.9916831,-0.003184318,-0.5025926,0.9624917,-0.010864,-0.3487217,-0.2269777,0.006402906,-0.1282893,0.9917161,1.199405,0.07276154,-2.024333,12.72604,0.00,0.00
1.524998,-0.08124417,-0.3498016,-0.2285336,0.06007071,-0.1100022,0.9921144,-0.01624455,-0.3495825,-0.228492,0.005983773,-0.1103834,0.9938711,-0.009067696,-0.4819722,0.9635193,-0.008750815,-0.3495572,-0.2284872,-0.0002642128,-0.1104067,0.9938865,1.199339,-0.01263607,-1.968505,14.34538,0.00,0.00
1.613188,-0.08165922,-0.3499357,-0.2294639,0.05603067,-0.1033068,0.9930701,-0.01666442,-0.3495753,-0.2287267,0.00195047,-0.1038297,0.9945932,-0.0143246,-0.4740857,0.9639691,-0.00148904,-0.3494911,-0.2285546,-0.01070448,-0.1039082,0.9945293,1.199084,-0.1587749,-1.876232,14.38425,0.00,0.00
1.710274,-0.08182585,-0.3482307,-0.2300943,0.05335127,-0.09752852,0.9938017,-0.01683939,-0.3480411,-0.2287815,-0.0007185545,-0.09793064,0.995193,-0.0177008,-0.4654543,0.9643981,0.006049983,-0.3479743,-0.2283191,-0.01981338,-0.09800424,0.9949888,1.198724,-0.2849358,-1.787279,14.38425,0.00,0.00
